col1,col2,col3,col4
2.424242424242424310e+00,1.467323086844377755e+01,-7.535503059294446082e-01,4.997663624977344288e-02
2.454545454545454586e+00,1.441764772797561989e+01,-7.731222176082798159e-01,1.988279591420361037e-02
2.484848484848484862e+00,1.465776770704183818e+01,-7.919842458546637598e-01,4.232640489217034396e-01
2.515151515151515138e+00,1.560414608455014296e+01,-8.101190714905293078e-01,1.210136931236100999e-01
2.545454545454545414e+00,1.557905952719210418e+01,-8.275100430577031485e-01,6.698457069232637284e-01
2.575757575757575690e+00,1.610779756561442966e+01,-8.441411921073311841e-01,3.388914882199802747e-01
2.606060606060605966e+00,1.563882184271965592e+01,-8.599972478621624727e-01,1.760870545369563889e-01
2.636363636363636243e+00,1.670741098876502662e+01,-8.750636512382280463e-01,7.485037325552834631e-02
2.666666666666666963e+00,1.642143370585442597e+01,-8.893265682130415684e-01,7.579721116417393878e-01
2.696969696969697239e+00,1.705462895655265498e+01,-9.027729025280444297e-01,8.971311467571221332e-01
2.727272727272727515e+00,1.743984089018180228e+01,-9.153903077136359423e-01,8.103317091818305062e-01
2.757575757575757791e+00,1.821143224598102250e+01,-9.271671984257428001e-01,3.951502474203625326e-01
2.787878787878788067e+00,1.860035570643733394e+01,-9.380927610835212427e-01,4.242869591821205599e-01
2.818181818181818343e+00,1.859905729700561139e+01,-9.481569637984230692e-01,5.958548617675821779e-01
2.848484848484848619e+00,1.939940404260320150e+01,-9.573505655855104601e-01,9.988283594637589191e-01
2.878787878787878896e+00,1.891807537908804093e+01,-9.656651248485589312e-01,1.263151992156147374e-01
2.909090909090909172e+00,1.970493647314808783e+01,-9.730930071311597596e-01,8.524148185603489525e-01
2.939393939393939448e+00,2.036096050593345552e+01,-9.796273921267035778e-01,2.564142296360316653e-02
2.969696969696969724e+00,2.111086857594405686e+01,-9.852622799408088383e-01,4.476295461837015432e-01
3.000000000000000000e+00,2.134760072354384164e+01,-9.899924966004454152e-01,1.930620543914443044e-01
